file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.131921,183.438,1316.789,11.860,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0077; downsample_s=0.0088; plot_s=0.1133
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,1.033487,184.547,1317.863,14.796,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.8945; downsample_s=0.0107; plot_s=0.1262
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.417594,109.738,1317.027,15.734,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0271; downsample_s=0.0239; plot_s=0.3623
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.316275,109.777,1317.031,92.631,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0234; downsample_s=0.0216; plot_s=0.2666
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.251013,110.914,1318.105,92.436,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0144; downsample_s=0.0155; plot_s=0.2174
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.238179,81.527,1317.551,28.139,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0175; downsample_s=0.0169; plot_s=0.2004
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,1.147378,75.457,1325.004,90.872,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.9159; downsample_s=0.0102; plot_s=0.2186
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_gamma_spike_detector,44.033153,74.777,1323.594,0.000,,299.999000,,,channels=109; start_s=0.000; stop_s=299.999; spikes=2552; gamma=2552
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.174509,106.430,1326.691,7.843,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0061; downsample_s=0.0071; plot_s=0.1602
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.165493,142.609,1344.629,39.818,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0137; downsample_s=0.0069; plot_s=0.1432
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.158355,149.891,1350.137,93.415,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0058; downsample_s=0.0056; plot_s=0.1455
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.172054,388.855,1446.004,10.407,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0223; downsample_s=0.0085; plot_s=0.1392
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.161207,398.746,1456.156,27.193,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0076; downsample_s=0.0093; plot_s=0.1426
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.174368,423.566,1481.793,46.117,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0059; downsample_s=0.0078; plot_s=0.1587
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.168727,427.941,1487.730,111.258,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0071; downsample_s=0.0075; plot_s=0.1524
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.174149,428.984,1486.422,3.486,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0085; downsample_s=0.0083; plot_s=0.1553
